,lng,lat,date,customdate,time,crime,barangay,city,modus,time_bin,day,php-usd-rate,PSE-index-Open,PSE-index-High,PSE-index-Low,PSE-index-Close,PSE-index-Adj Close,PSE-index-Volume
0,125.80799999999999,7.44808,30/07/2017,"Sun - Jul 30, 2017",16:11:00,Vehicular Traffic Accident,Magugpo Poblacion,Tagum City,Not Indicated,16:00 - 16:59,Sunday,50.54600000000001,8075.720215,8079.700195,8046.759765999999,8071.470215,8071.470215,115600
1,125.803,7.44675,30/07/2017,"Sun - Jul 30, 2017",0:20:00,MURDER,Magugpo Poblacion,Tagum City,Stabbing/Hacking,00:00 - 00:59,Sunday,50.54600000000001,8075.720215,8079.700195,8046.759765999999,8071.470215,8071.470215,115600
2,125.803,7.44897,30/07/2017,"Sun - Jul 30, 2017",0:20:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Stabbing/Hacking,00:00 - 00:59,Sunday,50.54600000000001,8075.720215,8079.700195,8046.759765999999,8071.470215,8071.470215,115600
3,125.818,7.45982,30/07/2017,"Sun - Jul 30, 2017",20:50:00,MURDER,Magugpo North,Tagum City,Shooting,20:00 - 20:59,Sunday,50.54600000000001,8075.720215,8079.700195,8046.759765999999,8071.470215,8071.470215,115600
4,125.818,7.460160000000001,30/07/2017,"Sun - Jul 30, 2017",20:50:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Shooting,20:00 - 20:59,Sunday,50.54600000000001,8075.720215,8079.700195,8046.759765999999,8071.470215,8071.470215,115600
5,125.665,7.30998,31/07/2017,"Mon - Jul 31, 2017",12:40:00,Drug Related Incident (RA 9165),New Visayas,Panabo City,Not Indicated,12:00 - 12:59,Monday,50.582,8068.660156,8070.040039,7953.470215,8018.049805,8018.049805,175300
6,125.708,7.099530000000001,31/07/2017,"Mon - Jul 31, 2017",15:00:00,THEFT,Mambago-A,Samal City,Salisi (Cellphone),15:00 - 15:59,Monday,50.582,8068.660156,8070.040039,7953.470215,8018.049805,8018.049805,175300
7,125.804,7.44707,31/07/2017,"Mon - Jul 31, 2017",12:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),12:00 - 12:59,Monday,50.582,8068.660156,8070.040039,7953.470215,8018.049805,8018.049805,175300
8,125.801,7.4462399999999995,31/07/2017,"Mon - Jul 31, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,Swpu (Stolen While Parked),16:00 - 16:59,Monday,50.582,8068.660156,8070.040039,7953.470215,8018.049805,8018.049805,175300
9,125.8,7.431539999999999,01/08/2017,"Tue - Aug 1, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),00:00 - 00:59,Tuesday,50.501999999999995,8015.680176000001,8017.180176000001,7906.600098000001,7906.600098000001,7906.600098000001,162200
10,125.675,7.297810000000001,01/08/2017,"Tue - Aug 1, 2017",0:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,00:00 - 00:59,Tuesday,50.501999999999995,8015.680176000001,8017.180176000001,7906.600098000001,7906.600098000001,7906.600098000001,162200
11,125.779,7.3913199999999994,01/08/2017,"Tue - Aug 1, 2017",17:18:00,MURDER,San Isidro,Tagum City,Shooting,17:00 - 17:59,Tuesday,50.501999999999995,8015.680176000001,8017.180176000001,7906.600098000001,7906.600098000001,7906.600098000001,162200
12,125.804,7.444839999999999,01/08/2017,"Tue - Aug 1, 2017",22:30:00,PHYSICAL INJURIES,Magugpo South,Tagum City,Mauling,22:00 - 22:59,Tuesday,50.501999999999995,8015.680176000001,8017.180176000001,7906.600098000001,7906.600098000001,7906.600098000001,162200
13,125.802,7.445010000000001,01/08/2017,"Tue - Aug 1, 2017",16:45:00,THEFT,Magugpo South,Tagum City,Salisi,16:00 - 16:59,Tuesday,50.501999999999995,8015.680176000001,8017.180176000001,7906.600098000001,7906.600098000001,7906.600098000001,162200
14,125.806,7.446219999999999,01/08/2017,"Tue - Aug 1, 2017",9:40:00,THEFT,Magugpo Poblacion,Tagum City,Salisi,09:00 - 09:59,Tuesday,50.501999999999995,8015.680176000001,8017.180176000001,7906.600098000001,7906.600098000001,7906.600098000001,162200
15,125.68,7.28751,02/08/2017,"Wed - Aug 2, 2017",11:30:00,Drug Related Incident (RA 9165),Cagangohan,Panabo City,Not Indicated,11:00 - 11:59,Wednesday,50.397,7936.890137,8037.910156,7872.649901999999,7872.649901999999,7872.649901999999,154400
16,125.671,7.2965100000000005,02/08/2017,"Wed - Aug 2, 2017",15:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,15:00 - 15:59,Wednesday,50.397,7936.890137,8037.910156,7872.649901999999,7872.649901999999,7872.649901999999,154400
17,125.82799999999999,7.4228,02/08/2017,"Wed - Aug 2, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),16:00 - 16:59,Wednesday,50.397,7936.890137,8037.910156,7872.649901999999,7872.649901999999,7872.649901999999,154400
18,125.803,7.46735,02/08/2017,"Wed - Aug 2, 2017",20:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,La Filipina,Tagum City,Swpu (Stolen While Parked),20:00 - 20:59,Wednesday,50.397,7936.890137,8037.910156,7872.649901999999,7872.649901999999,7872.649901999999,154400
19,125.765,7.44395,03/08/2017,"Thu - Aug 3, 2017",2:30:00,RAPE (Art. 266-A RC & R.A.8353),San Miguel (Camp 4),Tagum City,Not Indicated,02:00 - 02:59,Thursday,50.422,7897.839844,7946.310059,7862.109863,7876.660156,7876.660156,114100
20,125.685,7.31493,03/08/2017,"Thu - Aug 3, 2017",21:40:00,MURDER,San Francisco (Pob.),Panabo City,Shooting,21:00 - 21:59,Thursday,50.422,7897.839844,7946.310059,7862.109863,7876.660156,7876.660156,114100
21,125.802,7.4595199999999995,03/08/2017,"Thu - Aug 3, 2017",4:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo West,Tagum City,Swpu (Stolen While Parked),04:00 - 04:59,Thursday,50.422,7897.839844,7946.310059,7862.109863,7876.660156,7876.660156,114100
22,125.773,7.46944,05/08/2017,"Sat - Aug 5, 2017",0:30:00,RAPE (Art. 266-A RC & R.A.8353),Mankilam,Tagum City,Not Indicated,00:00 - 00:59,Saturday,50.365,7918.910156,7960.799805,7918.029785,7932.819823999999,7932.819823999999,250700
23,125.81200000000001,7.39756,05/08/2017,"Sat - Aug 5, 2017",16:30:00,THEFT,La Filipina,Tagum City,Salisi,16:00 - 16:59,Saturday,50.365,7918.910156,7960.799805,7918.029785,7932.819823999999,7932.819823999999,250700
24,125.809,7.381130000000001,06/08/2017,"Sun - Aug 6, 2017",21:48:00,MURDER,Madaum,Tagum City,Shooting,21:00 - 21:59,Sunday,50.365,7918.910156,7960.799805,7918.029785,7932.819823999999,7932.819823999999,250700
25,125.639,7.28525,07/08/2017,"Mon - Aug 7, 2017",10:30:00,THEFT,Kiotoy,Panabo City,Salisi (Others),10:00 - 10:59,Monday,50.185,7955.370117,7992.27002,7955.100098000001,7992.27002,7992.27002,108700
26,125.79700000000001,7.44712,07/08/2017,"Mon - Aug 7, 2017",11:15:00,ROBBERY,Magugpo South,Tagum City,Breaking and Entering,11:00 - 11:59,Monday,50.185,7955.370117,7992.27002,7955.100098000001,7992.27002,7992.27002,108700
27,125.804,7.443510000000001,07/08/2017,"Mon - Aug 7, 2017",20:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),20:00 - 20:59,Monday,50.185,7955.370117,7992.27002,7955.100098000001,7992.27002,7992.27002,108700
28,125.774,7.4669,08/08/2017,"Tue - Aug 8, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),00:00 - 00:59,Tuesday,50.31,8030.069823999999,8039.049805,7986.509765999999,7986.509765999999,7986.509765999999,157000
29,125.836,7.416689999999999,08/08/2017,"Tue - Aug 8, 2017",17:05:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),17:00 - 17:59,Tuesday,50.31,8030.069823999999,8039.049805,7986.509765999999,7986.509765999999,7986.509765999999,157000
30,125.681,7.29955,08/08/2017,"Tue - Aug 8, 2017",17:00:00,PHYSICAL INJURIES,New Pandan (Pob.),Panabo City,Stoning,17:00 - 17:59,Tuesday,50.31,8030.069823999999,8039.049805,7986.509765999999,7986.509765999999,7986.509765999999,157000
31,125.772,7.46475,09/08/2017,"Wed - Aug 9, 2017",3:54:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),03:00 - 03:59,Wednesday,50.388000000000005,8007.25,8011.589844,7940.970215,7985.830078,7985.830078,148900
