,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Household,number of households","Household,total annual household expenditure","Household,total annual household income","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Housing,occupied housing,Commercial/industrial/agricultural,household","Housing,occupied housing,Commercial/industrial/agricultural,population","Housing,occupied housing,Duplex,household","Housing,occupied housing,Duplex,population","Housing,occupied housing,Institutional living quarter,household","Housing,occupied housing,Institutional living quarter,population","Housing,occupied housing,Multiunit residential,household","Housing,occupied housing,Multiunit residential,population","Housing,occupied housing,Not Reported,household","Housing,occupied housing,Not Reported,population","Housing,occupied housing,Others,household","Housing,occupied housing,Others,population","Housing,occupied housing,Single house,household","Housing,occupied housing,Single house,population"
365,125.68299999999999,7.2887,28/11/2017,"Tue - Nov 28, 2017",22:30:00,ROBBERY,Cagangohan,Panabo City,Hold Up,urban,18.74,"3,274",622122487,808759233,46,517,45,"2,228",178,255,5,2,7,234,943,0,0,253,980,2,8,0,1,2783,12141
366,125.755,7.37896,29/11/2017,"Wed - Nov 29, 2017",14:10:00,Vehicular Traffic Accident,Bincungan,Tagum City,Not Indicated,rural,3.25,1008,191579252,249053027,14,159,14,686,55,78,1,2,7,71,290,0,1,73,253,1,2,0,0,861,3783
367,125.814,7.4558,29/11/2017,"Wed - Nov 29, 2017",22:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo North,Tagum City,Swpu (Stolen While Parked),urban,7.19,2229,423495749,550544473,32,352,31,1516,121,173,3,4,15,158,640,1,3,161,559,1,5,0,0,1904,8364
368,125.819,7.38973,30/11/2017,"Thu - Nov 30, 2017",15:30:00,PHYSICAL INJURIES,Madaum,Tagum City,Mauling,urban,8.25,"2,557",485905171,631676723,36,404,35,"1,740",139,199,4,5,17,181,735,1,3,184,641,1,5,0,0,2185,9596
369,125.80799999999999,7.44005,30/11/2017,"Thu - Nov 30, 2017",20:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
370,125.82700000000001,7.4126199999999995,01/12/2017,"Fri - Dec 1, 2017",3:00:00,THEFT,Apokon,Tagum City,Salisi,urban,22.88,"7,095","1,348,034,466","1,752,444,806",101,"1,121",98,"4,827",387,552,10,13,47,502,"2,038",3,8,512,"1,778",4,15,0,0,6062,26622
371,125.811,7.416239999999999,01/12/2017,"Fri - Dec 1, 2017",0:25:00,THEFT,Madaum,Tagum City,Applied as Helper,urban,8.25,"2,557",485905171,631676723,36,404,35,"1,740",139,199,4,5,17,181,735,1,3,184,641,1,5,0,0,2185,9596
372,125.804,7.44992,01/12/2017,"Fri - Dec 1, 2017",19:45:00,ROBBERY,Magugpo Poblacion,Tagum City,Cellphone Snatching,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
373,125.806,7.4485600000000005,01/12/2017,"Fri - Dec 1, 2017",20:25:00,ROBBERY,Magugpo Poblacion,Tagum City,Hold-Up W/ Sharp Object,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
374,125.788,7.45688,01/12/2017,"Fri - Dec 1, 2017",20:55:00,PHYSICAL INJURIES,Mankilam,Tagum City,Stabbing/Hacking,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
375,125.684,7.30213,02/12/2017,"Sat - Dec 2, 2017",18:15:00,THEFT,Santo Niño (Pob.),Panabo City,Shoplifting,urban,5.89,1030,195632594,254322372,15,163,14,701,56,80,2,1,2,74,296,0,0,80,308,1,2,0,0,875,3818
376,125.78299999999999,7.39688,03/12/2017,"Sun - Dec 3, 2017",19:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
377,125.802,7.45288,04/12/2017,"Mon - Dec 4, 2017",2:32:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo West,Tagum City,Swpu (Stolen While Parked),urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
378,125.81,7.4485399999999995,04/12/2017,"Mon - Dec 4, 2017",13:30:00,THEFT,Magugpo East,Tagum City,Shoplifting,urban,11.1,"3,441",653871272,850032654,49,544,47,"2,341",188,268,5,6,23,243,989,1,4,248,862,2,7,0,0,2940,12913
379,125.803,7.457730000000001,05/12/2017,"Tue - Dec 5, 2017",1:45:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Shooting,urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
380,125.804,7.457139999999999,05/12/2017,"Tue - Dec 5, 2017",0:30:00,ROBBERY,Magugpo West,Tagum City,Hold Up,urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
381,125.772,7.44318,05/12/2017,"Tue - Dec 5, 2017",20:13:00,PHYSICAL INJURIES,San Miguel (Camp 4),Tagum City,Stabbing/Hacking,urban,13.32,"4,131",784854011,1020310214,59,653,57,"2,810",225,321,6,8,27,292,1187,2,5,298,1035,2,9,0,0,3529,15500
382,125.79799999999999,7.4359,05/12/2017,"Tue - Dec 5, 2017",12:30:00,ROBBERY,Visayan Village,Tagum City,Snatching,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
383,125.685,7.30512,05/12/2017,"Tue - Dec 5, 2017",19:00:00,THEFT,Santo Niño (Pob.),Panabo City,Qualified Theft,urban,5.89,1030,195632594,254322372,15,163,14,701,56,80,2,1,2,74,296,0,0,80,308,1,2,0,0,875,3818
384,125.803,7.45782,07/12/2017,"Thu - Dec 7, 2017",2:54:00,MURDER,Magugpo West,Tagum City,Shooting,urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
385,125.678,7.303780000000001,07/12/2017,"Thu - Dec 7, 2017",8:30:00,MURDER,San Francisco (Pob.),Panabo City,Shooting,urban,17.46,"3,050",579491561,753339030,43,482,42,"2,075",166,237,4,2,7,218,878,0,0,236,912,2,7,0,1,2592,11309
386,125.79899999999999,7.43467,07/12/2017,"Thu - Dec 7, 2017",2:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
387,125.79799999999999,7.4359,07/12/2017,"Thu - Dec 7, 2017",10:00:00,THEFT,Visayan Village,Tagum City,Salisi,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
388,125.685,7.31675,07/12/2017,"Thu - Dec 7, 2017",19:35:00,MURDER,San Francisco (Pob.),Panabo City,Shooting,urban,17.46,"3,050",579491561,753339030,43,482,42,"2,075",166,237,4,2,7,218,878,0,0,236,912,2,7,0,1,2592,11309
389,125.81200000000001,7.44946,07/12/2017,"Thu - Dec 7, 2017",21:00:00,THEFT,Magugpo East,Tagum City,Plain Theft,urban,11.1,"3,441",653871272,850032654,49,544,47,"2,341",188,268,5,6,23,243,989,1,4,248,862,2,7,0,0,2940,12913
390,125.79899999999999,7.43607,07/12/2017,"Thu - Dec 7, 2017",18:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
391,125.74700000000001,7.127000000000001,08/12/2017,"Fri - Dec 8, 2017",18:30:00,HOMICIDE,San Antonio,Samal City,Mauling,rural,5.99,541,102854382,133710697,8,86,7,368,29,42,1,0,2,27,101,0,0,8,31,0,0,0,0,505,2030
392,125.79,7.4625,08/12/2017,"Fri - Dec 8, 2017",7:40:00,PHYSICAL INJURIES,Mankilam,Tagum City,Mauling,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
393,125.69,7.09657,09/12/2017,"Sat - Dec 9, 2017",5:00:00,THEFT,Peñaplata (Pob.),Samal City,Salisi,urban,17.42,1573,298905227,388576796,22,249,22,1070,86,122,2,1,5,78,294,0,0,25,91,0,1,0,0,1468,5900
394,125.775,7.46616,09/12/2017,"Sat - Dec 9, 2017",2:48:00,THEFT,Mankilam,Tagum City,Salisi (Akyat Bahay),urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
395,125.804,7.443989999999999,10/12/2017,"Sun - Dec 10, 2017",1:30:00,THEFT,Magugpo Poblacion,Tagum City,Snatching,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
396,125.79899999999999,7.4611600000000005,10/12/2017,"Sun - Dec 10, 2017",1:58:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Shooting,urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
397,125.71,7.10157,10/12/2017,"Sun - Dec 10, 2017",21:20:00,MURDER,Mambago-A,Samal City,Shooting,rural,5.24,473,89862766,116821595,7,75,7,322,26,37,1,0,2,24,89,0,0,7,27,0,0,0,0,441,1774
398,125.773,7.46667,11/12/2017,"Mon - Dec 11, 2017",23:30:00,ROBBERY,Mankilam,Tagum City,Hold Up,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
399,125.79899999999999,7.43165,12/12/2017,"Tue - Dec 12, 2017",5:10:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
400,125.771,7.44326,12/12/2017,"Tue - Dec 12, 2017",19:30:00,ROBBERY,San Miguel (Camp 4),Tagum City,Breaking and Entering,urban,13.32,"4,131",784854011,1020310214,59,653,57,"2,810",225,321,6,8,27,292,1187,2,5,298,1035,2,9,0,0,3529,15500
401,125.771,7.44175,13/12/2017,"Wed - Dec 13, 2017",18:00:00,ROBBERY,San Miguel (Camp 4),Tagum City,Akyat Bahay,urban,13.32,"4,131",784854011,1020310214,59,653,57,"2,810",225,321,6,8,27,292,1187,2,5,298,1035,2,9,0,0,3529,15500
402,125.594,7.323410000000001,13/12/2017,"Wed - Dec 13, 2017",23:00:00,RAPE (Art. 266-A RC & R.A.8353),Sindaton,Panabo City,"Force, Threat and Intimidation",rural,4.62,807,153362947,199371832,11,128,11,549,44,63,1,0,2,58,232,0,0,62,241,0,2,0,0,686,2993
403,125.691,7.32178,14/12/2017,"Thu - Dec 14, 2017",0:15:00,HOMICIDE,Salvacion,Panabo City,Stabbing/Hacking,urban,12.95,2263,429967203,558957365,32,358,31,1540,123,176,3,1,5,162,651,0,0,175,677,1,5,0,1,1923,8391
404,125.78200000000001,7.460610000000001,14/12/2017,"Thu - Dec 14, 2017",23:45:00,PHYSICAL INJURIES,Mankilam,Tagum City,Stabbing/Hacking,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
405,125.78,7.45914,14/12/2017,"Thu - Dec 14, 2017",4:20:00,PHYSICAL INJURIES,Mankilam,Tagum City,Stabbing/Hacking,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
406,125.801,7.43452,15/12/2017,"Fri - Dec 15, 2017",5:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Bincungan,Tagum City,Swpu (Stolen While Parked),rural,3.25,1008,191579252,249053027,14,159,14,686,55,78,1,2,7,71,290,0,1,73,253,1,2,0,0,861,3783
407,125.81,7.4469899999999996,16/12/2017,"Sat - Dec 16, 2017",3:05:00,Vehicular Traffic Accident,Apokon,Tagum City,Not Indicated,urban,22.88,"7,095","1,348,034,466","1,752,444,806",101,"1,121",98,"4,827",387,552,10,13,47,502,"2,038",3,8,512,"1,778",4,15,0,0,6062,26622
408,125.79799999999999,7.43629,17/12/2017,"Sun - Dec 17, 2017",22:30:00,ROBBERY,Visayan Village,Tagum City,Breaking and Entering,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
409,125.698,7.0773600000000005,18/12/2017,"Mon - Dec 18, 2017",5:00:00,THEFT,San Miguel (Magamono),Samal City,Salisi (Cellphone),rural,4.7,424,80597047,104776161,6,67,6,289,23,33,1,0,1,21,79,0,0,7,25,0,0,0,0,396,1591
410,125.684,7.31725,18/12/2017,"Mon - Dec 18, 2017",11:00:00,ROBBERY,San Francisco (Pob.),Panabo City, in an Inhabited House or Edifice for Worship and Private Building,urban,17.46,"3,050",579491561,753339030,43,482,42,"2,075",166,237,4,2,7,218,878,0,0,236,912,2,7,0,1,2592,11309
411,125.686,7.306260000000001,18/12/2017,"Mon - Dec 18, 2017",20:00:00,THEFT,Santo Niño (Pob.),Panabo City,Qualified Theft,urban,5.89,1030,195632594,254322372,15,163,14,701,56,80,2,1,2,74,296,0,0,80,308,1,2,0,0,875,3818
412,125.694,7.13943,18/12/2017,"Mon - Dec 18, 2017",15:00:00,RAPE (Art. 266-A RC & R.A.8353),Miranda (Pob.),Samal City,"Force, Threat and Intimidation",urban,20.32,1835,348714594,453328973,26,290,25,1249,100,143,3,2,6,91,344,0,0,29,106,0,2,0,1,1713,6883
413,125.765,6.95746,19/12/2017,"Tue - Dec 19, 2017",16:00:00,RAPE (Art. 266-A RC & R.A.8353),Sion (Zion),Samal City,"Force, Threat and Intimidation",rural,1.97,178,33827228,43975396,3,28,2,121,10,14,0,0,1,9,33,0,0,3,10,0,0,0,0,166,668
414,125.804,7.44735,19/12/2017,"Tue - Dec 19, 2017",8:30:00,ROBBERY,Magugpo Poblacion,Tagum City,Breaking and Entering,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
415,125.79899999999999,7.436030000000001,20/12/2017,"Wed - Dec 20, 2017",11:30:00,ROBBERY,Visayan Village,Tagum City,Snatching,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
416,125.79899999999999,7.43527,20/12/2017,"Wed - Dec 20, 2017",6:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
417,125.695,7.13973,21/12/2017,"Thu - Dec 21, 2017",11:05:00,RAPE (Art. 266-A RC & R.A.8353),Miranda (Pob.),Samal City,"Force, Threat and Intimidation",urban,20.32,1835,348714594,453328973,26,290,25,1249,100,143,3,2,6,91,344,0,0,29,106,0,2,0,1,1713,6883
418,125.79799999999999,7.444710000000001,21/12/2017,"Thu - Dec 21, 2017",19:45:00,ROBBERY,Magugpo South,Tagum City,Breaking and Entering,urban,8.33,"2,584",490935996,638216795,37,408,36,"1,758",141,201,4,5,17,183,742,1,3,186,648,1,5,0,0,2208,9695
419,125.807,7.44803,21/12/2017,"Thu - Dec 21, 2017",3:00:00,ROBBERY,Magugpo East,Tagum City,Breaking and Entering,urban,11.1,"3,441",653871272,850032654,49,544,47,"2,341",188,268,5,6,23,243,989,1,4,248,862,2,7,0,0,2940,12913
420,125.615,7.33533,23/12/2017,"Sat - Dec 23, 2017",16:20:00,THEFT,New Malitbog,Panabo City,Pick-Pocketing,rural,4.46,779,147943762,192326891,11,123,11,530,42,61,1,0,2,56,224,0,0,60,233,0,2,0,0,662,2887
421,125.806,7.462330000000001,23/12/2017,"Sat - Dec 23, 2017",23:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo East,Tagum City,Swpu (Stolen While Parked),urban,11.1,"3,441",653871272,850032654,49,544,47,"2,341",188,268,5,6,23,243,989,1,4,248,862,2,7,0,0,2940,12913
422,125.821,7.43001,23/12/2017,"Sat - Dec 23, 2017",18:28:00,PHYSICAL INJURIES,Apokon,Tagum City,Mauling,urban,22.88,"7,095","1,348,034,466","1,752,444,806",101,"1,121",98,"4,827",387,552,10,13,47,502,"2,038",3,8,512,"1,778",4,15,0,0,6062,26622
423,125.63799999999999,7.3322,23/12/2017,"Sat - Dec 23, 2017",11:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Nanyo,Panabo City,Ftr (Failed to Return),rural,5.23,914,173730053,225849069,13,144,13,622,50,71,1,1,2,65,263,0,0,71,274,1,2,0,0,777,3391
424,125.805,7.44722,24/12/2017,"Sun - Dec 24, 2017",6:54:00,ROBBERY,Magugpo Poblacion,Tagum City,Hold-Up W/ Gun,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
425,125.772,7.466410000000001,24/12/2017,"Sun - Dec 24, 2017",11:00:00,ROBBERY,Mankilam,Tagum City,Breaking and Entering,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
426,125.79799999999999,7.436139999999999,24/12/2017,"Sun - Dec 24, 2017",16:00:00,RAPE (Art. 266-A RC & R.A.8353),Visayan Village,Tagum City,"Force, Threat and Intimidation",urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
427,125.79899999999999,7.43543,25/12/2017,"Mon - Dec 25, 2017",1:45:00,PHYSICAL INJURIES,Visayan Village,Tagum City,Shooting,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
428,125.79799999999999,7.435689999999999,26/12/2017,"Tue - Dec 26, 2017",15:15:00,Drug Related Incident (RA 9165),Visayan Village,Tagum City,Not Indicated,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
429,125.79799999999999,7.4355199999999995,26/12/2017,"Tue - Dec 26, 2017",21:00:00,Drug Related Incident (RA 9165),Visayan Village,Tagum City,Not Indicated,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
430,125.691,7.152360000000001,27/12/2017,"Wed - Dec 27, 2017",3:30:00,PHYSICAL INJURIES,Tambo,Samal City,Shooting,rural,12.49,1128,214288133,278574573,16,178,16,767,61,88,2,1,4,56,211,0,0,18,65,0,1,0,0,1053,4230
431,125.773,7.46714,28/12/2017,"Thu - Dec 28, 2017",17:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
432,125.773,7.4676100000000005,29/12/2017,"Fri - Dec 29, 2017",3:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
