lng,lat,date,customdate,time,customtime,crime,barangay,city,region,province,modus,crimetype,station,moduscode,date_com,datechar
125.822,7.43584,22/08/2017,"Tue - Aug 22, 2017",11:30:00,11:30:AM,ROBBERY,Apokon,Tagum City,110000000,112300000,Breaking and Entering,8,Tagum CPS,mc97,22/08/2017,42969
125.804,7.43148,22/08/2017,"Tue - Aug 22, 2017",5:00:00,5:00:AM,ROBBERY,Visayan Village,Tagum City,110000000,112300000,With Violence Against or Intimidation of Persons,8,Tagum CPS,mc27,22/08/2017,42969
125.818,7.4489,22/08/2017,"Tue - Aug 22, 2017",16:30:00,4:30:PM,ROBBERY,Magugpo East,Tagum City,110000000,112300000,Breaking and Entering,8,Tagum CPS,mc97,22/08/2017,42969
125.801,7.4362,22/08/2017,"Tue - Aug 22, 2017",18:39:00,6:39:PM,HOMICIDE,Visayan Village,Tagum City,110000000,112300000,Shooting,3,Tagum CPS,mc37,22/08/2017,42969
125.802,7.42711,22/08/2017,"Tue - Aug 22, 2017",19:00:00,7:00:PM,PHYSICAL INJURIES,Visayan Village,Tagum City,110000000,112300000,Stabbing/Hacking,6,Tagum CPS,mc94,22/08/2017,42969
125.805,7.4466,23/08/2017,"Wed - Aug 23, 2017",15:00:00,3:00:PM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,23/08/2017,42970
125.814,7.45616,23/08/2017,"Wed - Aug 23, 2017",22:00:00,10:00:PM,PHYSICAL INJURIES,Magugpo North,Tagum City,110000000,112300000,Stabbing/Hacking,6,Tagum CPS,mc94,23/08/2017,42970
125.795,7.45658,23/08/2017,"Wed - Aug 23, 2017",19:25:00,7:25:PM,MURDER,Mankilam,Tagum City,110000000,112300000,Shooting,2,Tagum CPS,mc89,23/08/2017,42970
125.659,7.32156,23/08/2017,"Wed - Aug 23, 2017",17:00:00,5:00:PM,Drug Related Incident (RA 9165),Datu Abdul Dadia,Panabo City,110000000,112300000,Not Indicated,916,Panabo CPS,mc00,23/08/2017,42970
125.783,7.4626,24/08/2017,"Thu - Aug 24, 2017",8:50:00,8:50:AM,ROBBERY,Visayan Village,Tagum City,110000000,112300000,Breaking and Entering,8,Tagum CPS,mc97,24/08/2017,42971
125.588,7.3976,24/08/2017,"Thu - Aug 24, 2017",9:30:00,9:30:AM,PHYSICAL INJURIES,A. O. Floirendo,Panabo City,110000000,112300000,Mauling,6,Panabo CPS,mc92,24/08/2017,42971
125.817,7.46005,25/08/2017,"Fri - Aug 25, 2017",7:45:00,7:45:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,25/08/2017,42972
125.752,7.09199,25/08/2017,"Fri - Aug 25, 2017",0:30:00,12:30:AM,PHYSICAL INJURIES,Tagbitan-Ag,Samal City,110000000,112300000,Shooting,6,Island Garden City of Samal PS,mc93,25/08/2017,42972
125.808,7.44812,25/08/2017,"Fri - Aug 25, 2017",14:30:00,2:30:PM,THEFT,Magugpo Poblacion,Tagum City,110000000,112300000,Plain Theft,10,Tagum CPS,mc28,25/08/2017,42972
125.789,7.42269,25/08/2017,"Fri - Aug 25, 2017",16:35:00,4:35:PM,Drug Related Incident (RA 9165),Canocotan,Tagum City,110000000,112300000,Not Indicated,916,Tagum CPS,mc00,25/08/2017,42972
125.835,7.47107,26/08/2017,"Sat - Aug 26, 2017",1:00:00,1:00:AM,THEFT,Magdum,Tagum City,110000000,112300000,Plain Theft,10,Tagum CPS,mc28,26/08/2017,42973
125.803,7.41748,26/08/2017,"Sat - Aug 26, 2017",9:04:00,9:04:AM,MURDER,Visayan Village,Tagum City,110000000,112300000,Shooting,2,Tagum CPS,mc89,26/08/2017,42973
125.686,7.30626,26/08/2017,"Sat - Aug 26, 2017",11:00:00,11:00:AM,THEFT,Santo Niño (Pob.),Panabo City,110000000,112300000,Shoplifting,10,Panabo CPS,mc72,26/08/2017,42973
125.822,7.4168,27/08/2017,"Sun - Aug 27, 2017",4:30:00,4:30:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,27/08/2017,42974
125.757,6.92391,27/08/2017,"Sun - Aug 27, 2017",21:00:00,9:00:PM,PHYSICAL INJURIES,Libertad,Samal City,110000000,112300000,Hacking,6,Island Garden City of Samal PS,mc10,27/08/2017,42974
125.806,7.44197,27/08/2017,"Sun - Aug 27, 2017",3:00:00,3:00:AM,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,110000000,112300000,Stabbing/Hacking,6,Tagum CPS,mc94,27/08/2017,42974
125.805,7.44716,27/08/2017,"Sun - Aug 27, 2017",21:05:00,9:05:PM,THEFT,Magugpo Poblacion,Tagum City,110000000,112300000,Shoplifting,10,Tagum CPS,mc72,27/08/2017,42974
125.813,7.45784,27/08/2017,"Sun - Aug 27, 2017",22:30:00,10:30:PM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo North,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,27/08/2017,42974
125.782,7.46088,27/08/2017,"Sun - Aug 27, 2017",23:00:00,11:00:PM,PHYSICAL INJURIES,Mankilam,Tagum City,110000000,112300000,Mauling,6,Tagum CPS,mc92,27/08/2017,42974
125.784,7.45824,27/08/2017,"Sun - Aug 27, 2017",23:00:00,11:00:PM,THEFT,Mankilam,Tagum City,110000000,112300000,Salisi (Establishment),10,Tagum CPS,mc68,27/08/2017,42974
125.822,7.43607,28/08/2017,"Mon - Aug 28, 2017",3:00:00,3:00:AM,ROBBERY,Apokon,Tagum City,110000000,112300000,Destroying Window,8,Tagum CPS,mc53,28/08/2017,42975
125.806,7.43294,28/08/2017,"Mon - Aug 28, 2017",12:50:00,12:50:PM,MURDER,Visayan Village,Tagum City,110000000,112300000,Shooting,2,Tagum CPS,mc89,28/08/2017,42975
125.812,7.39728,28/08/2017,"Mon - Aug 28, 2017",21:30:00,9:30:PM,HOMICIDE,Madaum,Tagum City,110000000,112300000,Shooting,3,Tagum CPS,mc37,28/08/2017,42975
125.806,7.44918,28/08/2017,"Mon - Aug 28, 2017",21:00:00,9:00:PM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,28/08/2017,42975
125.798,7.46052,29/08/2017,"Tue - Aug 29, 2017",2:20:00,2:20:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo West,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,29/08/2017,42976
125.82,7.45046,30/08/2017,"Wed - Aug 30, 2017",3:00:00,3:00:AM,THEFT,Magugpo East,Tagum City,110000000,112300000,Salisi (Akyat Bahay),10,Tagum CPS,mc67,30/08/2017,42977
125.801,7.45182,30/08/2017,"Wed - Aug 30, 2017",9:00:00,9:00:AM,THEFT,Magugpo Poblacion,Tagum City,110000000,112300000,Shoplifting,10,Tagum CPS,mc72,30/08/2017,42977
125.812,7.38171,30/08/2017,"Wed - Aug 30, 2017",15:30:00,3:30:PM,MURDER,Madaum,Tagum City,110000000,112300000,Shooting,2,Tagum CPS,mc89,30/08/2017,42977
125.801,7.4753,30/08/2017,"Wed - Aug 30, 2017",20:45:00,8:45:PM,MURDER,La Filipina,Tagum City,110000000,112300000,Shooting,2,Tagum CPS,mc89,30/08/2017,42977
125.803,7.44854,31/08/2017,"Thu - Aug 31, 2017",5:00:00,5:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,31/08/2017,42978
125.828,7.42224,31/08/2017,"Thu - Aug 31, 2017",10:00:00,10:00:AM,THEFT,Apokon,Tagum City,110000000,112300000,Bag Snatching,10,Tagum CPS,mc10,31/08/2017,42978
125.678,7.27655,31/08/2017,"Thu - Aug 31, 2017",21:10:00,9:10:PM,Drug Related Incident (RA 9165),J.P. Laurel,Panabo City,110000000,112300000,Not Indicated,916,Panabo CPS,mc00,31/08/2017,42978
125.693,7.3033,31/08/2017,"Thu - Aug 31, 2017",22:45:00,10:45:PM,Drug Related Incident (RA 9165),Santo Niño (Pob.),Panabo City,110000000,112300000,Not Indicated,916,Panabo CPS,mc00,31/08/2017,42978
125.806,7.44767,31/08/2017,"Thu - Aug 31, 2017",13:47:00,1:47:PM,THEFT,Magugpo Poblacion,Tagum City,110000000,112300000,Pick-Pocketing,10,Tagum CPS,mc13,31/08/2017,42978
125.816,7.38807,31/08/2017,"Thu - Aug 31, 2017",5:50:00,5:50:AM,Drug Related Incident (RA 9165),Madaum,Tagum City,110000000,112300000,Not Indicated,916,Tagum CPS,mc00,31/08/2017,42978
125.816,7.38913,31/08/2017,"Thu - Aug 31, 2017",17:50:00,5:50:PM,Drug Related Incident (RA 9165),Madaum,Tagum City,110000000,112300000,Not Indicated,916,Tagum CPS,mc00,31/08/2017,42978
125.81,7.38015,31/08/2017,"Thu - Aug 31, 2017",5:30:00,5:30:AM,Drug Related Incident (RA 9165),Madaum,Tagum City,110000000,112300000,Not Indicated,916,Tagum CPS,mc00,31/08/2017,42978
125.806,7.45603,01/09/2017,"Fri - Sep 1, 2017",9:20:00,9:20:AM,Vehicular Traffic Accident,Magugpo West,Tagum City,110000000,112300000,Not Indicated,123,Tagum CPS,mc00,01/09/2017,42979
125.797,7.4345,02/09/2017,"Sat - Sep 2, 2017",5:00:00,5:00:AM,ROBBERY,Visayan Village,Tagum City,110000000,112300000,Breaking and Entering,8,Tagum CPS,mc97,02/09/2017,42980
125.805,7.44173,02/09/2017,"Sat - Sep 2, 2017",2:00:00,2:00:AM,RAPE (Art. 266-A RC & R.A.8353),Magugpo Poblacion,Tagum City,110000000,112300000,Not Indicated,7,Tagum CPS,mc00,02/09/2017,42980
125.803,7.45037,03/09/2017,"Sun - Sep 3, 2017",16:00:00,4:00:PM,THEFT,Magugpo Poblacion,Tagum City,110000000,112300000,Salisi,10,Tagum CPS,mc12,03/09/2017,42981
125.824,7.42122,04/09/2017,"Mon - Sep 4, 2017",0:58:00,12:58:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,04/09/2017,42982
125.769,6.92724,04/09/2017,"Mon - Sep 4, 2017",7:30:00,7:30:AM,THEFT,Pangubatan (Talicod I),Samal City,110000000,112300000,Salisi (Others),10,Island Garden City of Samal PS,mc69,04/09/2017,42982
125.803,7.45646,04/09/2017,"Mon - Sep 4, 2017",3:57:00,3:57:AM,THEFT,Magugpo West,Tagum City,110000000,112300000,Salisi,10,Tagum CPS,mc12,04/09/2017,42982
125.816,7.39186,04/09/2017,"Mon - Sep 4, 2017",18:55:00,6:55:PM,Drug Related Incident (RA 9165),Madaum,Tagum City,110000000,112300000,Not Indicated,916,Tagum CPS,mc00,04/09/2017,42982
125.776,7.4439,04/09/2017,"Mon - Sep 4, 2017",7:00:00,7:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,San Miguel (Camp 4),Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,04/09/2017,42982
125.633,7.33246,05/09/2017,"Tue - Sep 5, 2017",18:30:00,6:30:PM,ROBBERY,Nanyo,Panabo City,110000000,112300000,Hold-Up W/ Gun,8,Panabo CPS,mc54,05/09/2017,42983
125.678,7.28672,05/09/2017,"Tue - Sep 5, 2017",18:20:00,6:20:PM,Drug Related Incident (RA 9165),Cagangohan,Panabo City,110000000,112300000,Not Indicated,916,Panabo CPS,mc00,05/09/2017,42983
125.673,7.31156,05/09/2017,"Tue - Sep 5, 2017",23:35:00,11:35:PM,Drug Related Incident (RA 9165),New Visayas,Panabo City,110000000,112300000,Not Indicated,916,Panabo CPS,mc00,05/09/2017,42983
125.636,7.33233,05/09/2017,"Tue - Sep 5, 2017",18:30:00,6:30:PM,ROBBERY,Nanyo,Panabo City,110000000,112300000,Hold Up,8,Panabo CPS,mc8,05/09/2017,42983
125.816,7.43575,06/09/2017,"Wed - Sep 6, 2017",23:50:00,11:50:PM,Drug Related Incident (RA 9165),Apokon,Tagum City,110000000,112300000,Not Indicated,916,Tagum CPS,mc00,06/09/2017,42984
125.803,7.4305,06/09/2017,"Wed - Sep 6, 2017",0:00:00,12:00:AM,THEFT,Visayan Village,Tagum City,110000000,112300000,Salisi,10,Tagum CPS,mc12,06/09/2017,42984
125.818,7.4395,06/09/2017,"Wed - Sep 6, 2017",1:00:00,1:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,06/09/2017,42984
125.802,7.44057,06/09/2017,"Wed - Sep 6, 2017",23:12:00,11:12:PM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,06/09/2017,42984
125.807,7.43386,07/09/2017,"Thu - Sep 7, 2017",4:00:00,4:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,07/09/2017,42985
125.803,7.45731,07/09/2017,"Thu - Sep 7, 2017",1:00:00,1:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo West,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,07/09/2017,42985
125.811,7.4462,07/09/2017,"Thu - Sep 7, 2017",3:36:00,3:36:AM,ROBBERY,Magugpo Poblacion,Tagum City,110000000,112300000,Destroying Window,8,Tagum CPS,mc53,07/09/2017,42985
125.693,7.31737,07/09/2017,"Thu - Sep 7, 2017",22:45:00,10:45:PM,Drug Related Incident (RA 9165),Salvacion,Panabo City,110000000,112300000,Not Indicated,916,Panabo CPS,mc00,07/09/2017,42985
125.826,7.44043,08/09/2017,"Fri - Sep 8, 2017",0:20:00,12:20:AM,THEFT,Apokon,Tagum City,110000000,112300000,Salisi (Cellphone),10,Tagum CPS,mc18,08/09/2017,42986
125.798,7.47741,08/09/2017,"Fri - Sep 8, 2017",3:00:00,3:00:AM,THEFT,La Filipina,Tagum City,110000000,112300000,Salisi (Akyat Bahay),10,Tagum CPS,mc67,08/09/2017,42986
125.823,7.45226,08/09/2017,"Fri - Sep 8, 2017",5:00:00,5:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo East,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,08/09/2017,42986
125.799,7.44616,08/09/2017,"Fri - Sep 8, 2017",4:00:00,4:00:AM,THEFT,Magugpo South,Tagum City,110000000,112300000,Salisi (Akyat Bahay),10,Tagum CPS,mc67,08/09/2017,42986
125.771,7.4429,09/09/2017,"Sat - Sep 9, 2017",3:30:00,3:30:AM,ROBBERY,San Miguel (Camp 4),Tagum City,110000000,112300000,With Violence Against or Intimidation of Persons,8,Tagum CPS,mc27,09/09/2017,42987
125.818,7.4392,09/09/2017,"Sat - Sep 9, 2017",5:00:00,5:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,09/09/2017,42987
125.773,7.44352,09/09/2017,"Sat - Sep 9, 2017",7:00:00,7:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,San Miguel (Camp 4),Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,09/09/2017,42987
125.804,7.44756,09/09/2017,"Sat - Sep 9, 2017",20:01:00,8:01:PM,Drug Related Incident (RA 9165),Canocotan,Tagum City,110000000,112300000,Not Indicated,916,Tagum CPS,mc00,09/09/2017,42987
125.821,7.4492,09/09/2017,"Sat - Sep 9, 2017",7:00:00,7:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo East,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,09/09/2017,42987
125.803,7.4462,10/09/2017,"Sun - Sep 10, 2017",1:00:00,1:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,10/09/2017,42988
125.778,7.46243,10/09/2017,"Sun - Sep 10, 2017",4:30:00,4:30:AM,ROBBERY,Mankilam,Tagum City,110000000,112300000,Breaking and Entering,8,Tagum CPS,mc97,10/09/2017,42988
125.819,7.43988,10/09/2017,"Sun - Sep 10, 2017",22:00:00,10:00:PM,ROBBERY,Apokon,Tagum City,110000000,112300000,Hold-Up W/ Sharp Object,8,Tagum CPS,mc55,10/09/2017,42988
125.793,7.49239,10/09/2017,"Sun - Sep 10, 2017",18:30:00,6:30:PM,ROBBERY,Cuambogan,Tagum City,110000000,112300000,Crowbar/Destroying Lock,8,Tagum CPS,mc52,10/09/2017,42988
125.687,7.06698,11/09/2017,"Mon - Sep 11, 2017",0:00:00,12:00:AM,THEFT,Catagman,Samal City,110000000,112300000,Salisi (Establishment),10,Island Garden City of Samal PS,mc68,11/09/2017,42989
125.812,7.44905,11/09/2017,"Mon - Sep 11, 2017",10:35:00,10:35:AM,THEFT,Magugpo East,Tagum City,110000000,112300000,Shoplifting,10,Tagum CPS,mc72,11/09/2017,42989
125.672,7.08518,11/09/2017,"Mon - Sep 11, 2017",19:00:00,7:00:PM,RAPE (Art. 266-A RC & R.A.8353),Limao,Samal City,110000000,112300000,"Force, Threat and Intimidation",7,Island Garden City of Samal PS,mc19,11/09/2017,42989
125.686,7.30562,11/09/2017,"Mon - Sep 11, 2017",17:30:00,5:30:PM,THEFT,Santo Niño (Pob.),Panabo City,110000000,112300000,Shoplifting,10,Panabo CPS,mc72,11/09/2017,42989
125.804,7.43207,12/09/2017,"Tue - Sep 12, 2017",4:30:00,4:30:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,12/09/2017,42990
125.789,7.45765,12/09/2017,"Tue - Sep 12, 2017",5:00:00,5:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,12/09/2017,42990
125.805,7.45097,12/09/2017,"Tue - Sep 12, 2017",15:00:00,3:00:PM,THEFT,Magugpo Poblacion,Tagum City,110000000,112300000,Salisi,10,Tagum CPS,mc12,12/09/2017,42990
125.822,7.45046,12/09/2017,"Tue - Sep 12, 2017",22:00:00,10:00:PM,RAPE (Art. 266-A RC & R.A.8353),Magugpo East,Tagum City,110000000,112300000,"Force, Threat and Intimidation",7,Tagum CPS,mc19,12/09/2017,42990
125.824,7.42122,13/09/2017,"Wed - Sep 13, 2017",2:00:00,2:00:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,13/09/2017,42991
125.802,7.4565,14/09/2017,"Thu - Sep 14, 2017",4:30:00,4:30:AM,ROBBERY,Magugpo West,Tagum City,110000000,112300000,Cellphone Snatching,8,Tagum CPS,mc10,14/09/2017,42992
125.802,7.47335,14/09/2017,"Thu - Sep 14, 2017",17:45:00,5:45:PM,ANTI-CARNAPPING ACT (R.A. 6539) MC,La Filipina,Tagum City,110000000,112300000,Swpu (Stolen While Parked),366,Tagum CPS,mc86,14/09/2017,42992
125.688,7.13164,15/09/2017,"Fri - Sep 15, 2017",0:25:00,12:25:AM,MURDER,Moncado (Pob.),Samal City,110000000,112300000,Shooting,2,Island Garden City of Samal PS,mc89,15/09/2017,42993
125.76,7.05102,16/09/2017,"Sat - Sep 16, 2017",15:10:00,3:10:PM,PHYSICAL INJURIES,Tagbay,Samal City,110000000,112300000,Mauling,6,Island Garden City of Samal PS,mc92,16/09/2017,42994
125.67,7.3017,16/09/2017,"Sat - Sep 16, 2017",10:32:00,10:32:AM,Drug Related Incident (RA 9165),New Visayas,Panabo City,110000000,112300000,Not Indicated,916,Panabo CPS,mc00,16/09/2017,42994
125.681,7.29953,16/09/2017,"Sat - Sep 16, 2017",18:00:00,6:00:PM,Drug Related Incident (RA 9165),New Pandan (Pob.),Panabo City,110000000,112300000,Not Indicated,916,Panabo CPS,mc00,16/09/2017,42994
125.804,7.44614,16/09/2017,"Sat - Sep 16, 2017",16:05:00,4:05:PM,THEFT,Magugpo Poblacion,Tagum City,110000000,112300000,Salisi,10,Tagum CPS,mc12,16/09/2017,42994
125.802,7.46184,16/09/2017,"Sat - Sep 16, 2017",19:20:00,7:20:PM,Vehicular Traffic Accident,Magugpo West,Tagum City,110000000,112300000,Not Indicated,123,Tagum CPS,mc00,16/09/2017,42994
125.813,7.44505,17/09/2017,"Sun - Sep 17, 2017",3:20:00,3:20:AM,Vehicular Traffic Accident,Apokon,Tagum City,110000000,112300000,Not Indicated,123,Tagum CPS,mc00,17/09/2017,42995
125.804,7.44905,17/09/2017,"Sun - Sep 17, 2017",12:45:00,12:45:PM,THEFT,Magugpo Poblacion,Tagum City,110000000,112300000,Salisi,10,Tagum CPS,mc12,17/09/2017,42995
